@relation Training

@attribute ID numeric
@attribute Class {0,1}
@attribute ScoreTag {P,NONE,N,NEU,P+,N+}
@attribute Agreement {DISAGREEMENT,AGREEMENT}
@attribute Irony {NONIRONIC,IRONIC}
@attribute Confidence numeric
@attribute Subjectivity {OBJECTIVE,SUBJECTIVE}
@attribute Fear numeric
@attribute Excited numeric
@attribute Bored numeric
@attribute Happy numeric
@attribute Angry numeric
@attribute Sad numeric
@attribute nbOfChars numeric
@attribute nbOfSymbols numeric
@attribute wordDensity numeric
@attribute nbUniqueWords numeric
@attribute nbOfLinks numeric
@attribute nbOfUniqLinks numeric
@attribute nbOfLetterWords numeric

@data
1429,0,P,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.167907,0.305915,0.043597,0.248774,0.143349,0.090459,391,27,0.2711,67,0,0,72
3001,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.154319,0.410213,0.071465,0.195793,0.107131,0.061079,72,7,0.333333,19,0,0,11
4141,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.128281,0.479578,0.010954,0.287068,0.066424,0.027695,309,16,0.281553,42,0,0,49
3399,0,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.135667,0.047274,0.091911,0.051471,0.499587,0.17409,1549,150,0.306004,194,0,0,278
2184,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.167854,0.120082,0.065221,0.127292,0.33036,0.189192,489,40,0.298569,87,0,0,95
318,1,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.158664,0.342265,0,0.275423,0.126396,0.097252,606,20,0.20462,94,0,0,98
1973,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.162484,0.152708,0.052329,0.152159,0.293452,0.186868,693,46,0.308802,123,0,0,157
2,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.202661,0.142773,0.041165,0.271061,0.082494,0.259845,65,7,0.338462,18,0,0,11
2171,0,N,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.169779,0.168032,0.0548,0.128996,0.332833,0.14556,1714,309,0.376313,107,0,0,295
1775,1,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.167582,0.279448,0,0.277517,0.120035,0.155419,2049,110,0.258663,269,1,1,388
1271,0,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.118718,0.105952,0.135716,0.049828,0.420414,0.169372,149,9,0.308725,37,0,0,30
1764,1,NEU,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.145165,0.188623,0.069822,0.132672,0.327226,0.136491,1318,53,0.258725,203,1,1,278
1151,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.114977,0.211546,0,0.225787,0.377341,0.07035,563,139,0.438721,66,0,0,82
1765,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.169424,0.261649,0.050395,0.200671,0.194088,0.123774,838,43,0.254177,110,0,0,165
2835,0,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.157884,0.165678,0.049585,0.159811,0.254406,0.212637,1700,194,0.334118,189,0,0,345
4639,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.155399,0.370841,0.035701,0.181513,0.170635,0.085912,462,23,0.25974,72,0,0,89
1328,0,P+,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.146457,0.216155,0.063133,0.222253,0.247273,0.104729,309,10,0.252427,46,0,0,65
1617,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.131719,0.202782,0.068555,0.24514,0.197572,0.154232,1881,162,0.30941,191,0,0,384
4740,1,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.062922,0.584728,0.017726,0.113807,0.16373,0.057087,410,13,0.217073,66,0,0,76
429,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.094776,0.272474,0.050141,0.171432,0.336235,0.074943,2223,224,0.300045,268,0,0,370
4124,0,NEU,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.186727,0.24008,0.095694,0.23066,0.123324,0.123515,1373,106,0.295703,159,0,0,290
4626,0,N,DISAGREEMENT,NONIRONIC,94,OBJECTIVE,0.106675,0.104796,0.04458,0.078951,0.542138,0.122861,443,71,0.358917,71,0,0,82
4159,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.178152,0.228884,0.077726,0.234257,0.115018,0.165963,182,7,0.274725,36,0,0,34
4846,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.200403,0.247244,0.039524,0.218107,0.12998,0.164742,288,19,0.274306,62,0,0,52
1072,0,N,AGREEMENT,NONIRONIC,92,OBJECTIVE,0.247873,0.116945,0.035911,0.124839,0.213374,0.261058,364,16,0.263736,64,0,0,76
254,1,N,AGREEMENT,IRONIC,90,SUBJECTIVE,0.14507,0.119642,0.050972,0.067451,0.460807,0.156059,359,16,0.239554,67,1,1,65
4636,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.266386,0.126481,0,0.171352,0.061874,0.373907,50,2,0.2,10,0,0,8
3290,1,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.129746,0.265303,0.104958,0.315173,0.10237,0.082449,352,17,0.252841,64,0,0,71
277,1,NEU,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.126542,0.211071,0,0.312399,0.223103,0.126885,1079,86,0.299351,168,2,2,231
1567,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.205245,0.147761,0.04892,0.285567,0.082575,0.229931,64,7,0.34375,18,0,0,11
1940,0,P,AGREEMENT,NONIRONIC,97,OBJECTIVE,0.198673,0.255404,0.054275,0.25576,0.13944,0.096448,166,12,0.289157,40,0,0,35
3555,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.132782,0.461289,0.013728,0.283962,0.074829,0.03341,306,14,0.261438,46,0,0,54
3123,1,P,DISAGREEMENT,NONIRONIC,92,SUBJECTIVE,0.141627,0.18107,0.029206,0.147616,0.33711,0.163372,1719,54,0.219895,200,0,0,312
4623,1,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.150552,0.230502,0.093185,0.335698,0.098133,0.09193,365,33,0.29589,70,2,1,71
2936,0,P,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.161017,0.242328,0,0.183709,0.266837,0.146108,9733,1281,0.337923,468,0,0,1727
1454,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.175,0.069851,0.059584,0.186015,0.251433,0.258117,216,8,0.268518,38,0,0,47
3885,0,P+,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.105921,0.392364,0,0.355707,0.091592,0.054416,36,3,0.305556,11,0,0,8
361,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.202661,0.142773,0.041165,0.271061,0.082494,0.259845,66,7,0.333333,17,0,0,11
1679,0,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.205716,0.183488,0.04055,0.140333,0.247224,0.182689,1855,115,0.25876,209,0,0,338
2882,1,N,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.165147,0.132134,0.045008,0.187962,0.243224,0.226525,1053,6,0.147198,150,0,0,146
4067,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.107845,0.384864,0.081179,0.257635,0.13131,0.037167,94,8,0.340426,23,0,0,16
3445,1,P,DISAGREEMENT,NONIRONIC,91,SUBJECTIVE,0.269656,0.108465,0.188604,0.072168,0.171415,0.189691,385,6,0.225974,69,0,0,80
2783,0,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.19624,0.15181,0.040008,0.274274,0.077351,0.260317,62,8,0.370968,18,0,0,11
2630,0,P,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.186457,0.333845,0.052625,0.123302,0.20287,0.1009,211,5,0.265403,39,0,0,49
230,0,P,AGREEMENT,NONIRONIC,100,SUBJECTIVE,0.118823,0.351513,0.034429,0.341906,0.112695,0.040634,1434,68,0.240586,160,2,1,276
