ID,Class,ScoreTag,Agreement,Irony,Confidence,Subjectivity,Fear,Excited,Bored,Happy,Angry,Sad
1934,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1296890536,0.1228458727,0.3151959119,0.2709131228,0.080352757,0.0810032821
3916,?,NEU,DISAGREEMENT,NONIRONIC,86,SUBJECTIVE,0.1524927879,0.1069092805,0.0322896722,0.2409550782,0.2419074389,0.2254457424
4945,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1832685763,0.2818523708,0.054998489,0.1723381761,0.1823355459,0.1252068419
2639,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.2416786107,0.0187603251,0.0270816441,0.0186374168,0.3123791941,0.3814628092
4520,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1960636767,0.1163232705,0.0806245068,0.0425258137,0.260881767,0.3035809652
170,?,P,DISAGREEMENT,NONIRONIC,83,SUBJECTIVE,0.1936833989,0.2061253826,0.0440898784,0.1709302232,0.168971343,0.2161997739
1022,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.2168409483,0.2906411178,0.1738836542,0.149982599,0.0866385225,0.0820131581
3340,?,P+,DISAGREEMENT,NONIRONIC,92,OBJECTIVE,0.2449302609,0.2733462723,0.0362645316,0.2060043763,0.1116696005,0.1277849583
5009,?,NONE,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1570458678,0.3603722932,0.088696511,0.1888830388,0.115279473,0.0897228162
4104,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1939553486,0.091209353,0.0402327893,0.0403917709,0.2027167649,0.4314939732
623,?,P,AGREEMENT,NONIRONIC,92,OBJECTIVE,0.2282027393,0.3314211928,0.0,0.2209065035,0.0939505852,0.1255189792
5035,?,N,AGREEMENT,NONIRONIC,100,OBJECTIVE,0.1661100615,0.1771001646,0.0,0.2225848878,0.3019546752,0.132250211
4034,?,P,DISAGREEMENT,NONIRONIC,94,SUBJECTIVE,0.0807066572,0.4468429595,0.0327317488,0.3080780591,0.0988882989,0.0327522765
